id;deglat;minlat;seclat;deglong;minlong;seclong;utmzone;utmeast;utmnorth;utmsrid;decimlat;decimlong
2023-02087;;;;;;;;;;;;
2018-00874;56;26;0.1;-111;3;56.7;;;;;;
2018-00969;56;24;49.3;-111;2;52.8;;;;;;
2018-01055;56;24;49.3;-111;2;52.8;;;;;;
2018-01066;56;22;15.3;-111;0;36.6;;;;;;
2018-05331;;;;;;;;;;;;
2021-35481;;;;;;;;;;;;
2018-05298;;;;;;;;;;;;
2018-02117;;;;;;;12;330443.25;5932417.45;32612;;
2018-02145;;;;;;;12;330443.25;5932417.45;32612;;
2018-02442;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02445;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-03278;;;;;;;11;414405.56;6290489.06;32611;;
2018-03279;;;;;;;;;;;;
2018-03280;;;;;;;;;;;;
2018-03281;;;;;;;;;;;;
2018-03282;;;;;;;;;;;;
2018-04890;54;58;56;-112;0;21;;;;;;
2018-05240;;;;;;;;;;;;
2018-00316;56;24;47.5;-111;2;53;;;;;;
2018-00345;56;23;55.7;-111;35;2.9;;;;;;
2018-00575;56;22;17.8;-111;0;37.2;;;;;;
2018-00636;56;38;5.5;-111;9;8;;;;;;
2018-00652;56;36;0.9;-111;18;39.3;;;;;;
2018-01787;55;22;14;-111;10;36;;;;;;
2018-01830;55;22;14;-111;10;36;;;;;;
2018-02247;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02333;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02343;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02344;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02856;;;;;;;11;416432;6297960;32611;;
2018-02931;;;;;;;11;418855.08;6295973.15;32611;;
2018-03283;;;;;;;11;414644.67;6293057.83;32611;;
2018-03284;;;;;;;11;416931.5;6289915.17;32611;;
2018-03285;;;;;;;11;416288.06;6297927.75;32611;;
2018-03286;;;;;;;11;416088.33;6294980.33;32611;;
2018-03287;;;;;;;11;417403.67;6298143.25;32611;;
2018-03288;;;;;;;11;418958.71;6299424;32611;;
2018-03289;;;;;;;11;416153.54;6290260.14;32611;;
2018-03290;;;;;;;11;416521.29;6290252.66;32611;;
2018-03291;;;;;;;11;416153;6290260.14;32611;;
2018-03292;;;;;;;11;417781.94;6299198;32611;;
2018-03293;;;;;;;11;416973.56;6298485.04;32611;;
2018-04866;55;6;34.36;-118;45;40.37;;;;;;
2018-04891;54;57;18;-112;53;53;;;;;;
2018-05204;;;;;;;;;;;;
2018-05260;;;;;;;;;;;;
2018-05343;;;;;;;;;;;;
2021-35004;55;6;38.12;118;45;38.68;;;;;;
2021-35200;;;;;;;;;;;;
2021-35296;;;;;;;;;;;;
2021-35383;;;;;;;;;;;;
2021-35585;;;;;;;;;;;;
2022-15125;;;;;;;;;;;;
2022-15372;;;;;;;;;;;;
2023-02015;;;;;;;;;;;;
2018-01369;;;;;;;;;;;;
2018-01335;;;;;;;;;;;;
2018-01336;;;;;;;;;;;;
2018-01337;;;;;;;;;;;;
2018-01338;;;;;;;;;;;;
2018-01339;;;;;;;;;;;;
2018-01340;;;;;;;;;;;;
2018-01342;;;;;;;;;;;;
2018-01344;;;;;;;;;;;;
2018-01353;;;;;;;;;;;;
2018-01354;;;;;;;;;;;;
2018-01355;;;;;;;;;;;;
2018-02861;;;;;;;11;418093;6299546;32611;;
2018-02868;;;;;;;11;416963.05;6298817.99;32611;;
2018-02873;;;;;;;11;416682.77;6294654.98;32611;;
2018-03294;;;;;;;11;414820.93;6290619.71;32611;;
2018-03295;;;;;;;11;416820.5;6298734.43;32611;;
2018-03296;;;;;;;11;417417.08;6294798.92;32611;;
2018-03297;;;;;;;11;418948.5;6296710.42;32611;;
2018-03298;;;;;;;11;417014.46;6298481.54;32611;;
2018-05054;55;28;10;-113;26;25;;;;;;
2018-00849;56;24;49.3;-111;2;52.8;;;;;;
